Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.53370357
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.50721014
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6408166
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7794208
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.81919396
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5831063
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6676901
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.53914833
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.61829305
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.83527267
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8011066
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.46854573
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.3988499
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.84796214
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.61838335
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7602147
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.81103426
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.4941492
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.76628184
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7927815
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6867001
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.45724666
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.78272355
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.86140984
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7097244
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7177799
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5567888
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.58255637
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5984126
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.59302884
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.47717577
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.44688606
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5485699
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.72030187
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8624944
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7834563
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.36793786
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.74309576
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.65225595
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8430244
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.71076226
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.56055105
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.73713374
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5018175
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.49885717
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.63577247
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.592725
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.66449887
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7190188
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6401558
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.36991283
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7488481
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6126654
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.4691453
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.59526694
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7269548
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.78875184
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.71423334
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5890931
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.44535747
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6570968
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.67936814
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.59137887
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.64627373
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7621546
