Model,Dataset,x,y,modality,category
FLAVA,mscoco,11.25,-14.21,image,umbrella
FLAVA,mscoco,-1.20,-13.84,image,umbrella
FLAVA,mscoco,12.65,-16.45,image,umbrella
FLAVA,mscoco,12.76,-16.26,image,umbrella
FLAVA,mscoco,10.53,-15.74,image,umbrella
FLAVA,mscoco,2.69,-16.17,image,umbrella
FLAVA,mscoco,6.89,-19.33,image,umbrella
FLAVA,mscoco,10.28,-17.68,image,umbrella
FLAVA,mscoco,10.34,-17.84,image,umbrella
FLAVA,mscoco,10.01,-14.70,image,umbrella
FLAVA,mscoco,1.82,-13.88,image,umbrella
FLAVA,mscoco,13.16,-14.23,image,umbrella
FLAVA,mscoco,10.51,-16.96,image,umbrella
FLAVA,mscoco,12.78,-11.63,image,umbrella
FLAVA,mscoco,13.15,-14.56,image,umbrella
FLAVA,mscoco,14.04,-18.85,image,umbrella
FLAVA,mscoco,8.98,-19.34,image,umbrella
FLAVA,mscoco,9.84,-9.78,image,umbrella
FLAVA,mscoco,8.60,-16.61,image,umbrella
FLAVA,mscoco,9.76,-11.38,image,umbrella
FLAVA,mscoco,1.29,-12.25,image,umbrella
FLAVA,mscoco,9.29,-18.83,image,umbrella
FLAVA,mscoco,4.77,-19.46,image,umbrella
FLAVA,mscoco,8.51,-14.88,image,umbrella
FLAVA,mscoco,12.44,-15.46,image,umbrella
FLAVA,mscoco,2.85,-11.76,image,umbrella
FLAVA,mscoco,3.63,-10.43,image,umbrella
FLAVA,mscoco,-2.05,-5.14,image,umbrella
FLAVA,mscoco,12.68,-12.27,image,umbrella
FLAVA,mscoco,1.68,-17.12,image,umbrella
FLAVA,mscoco,3.52,-17.31,image,umbrella
FLAVA,mscoco,7.80,-8.15,image,umbrella
FLAVA,mscoco,7.70,-7.99,image,umbrella
FLAVA,mscoco,1.95,-12.19,image,umbrella
FLAVA,mscoco,12.64,-17.23,image,umbrella
FLAVA,mscoco,5.02,-10.92,image,umbrella
FLAVA,mscoco,4.76,-19.55,image,umbrella
FLAVA,mscoco,6.30,-8.89,image,umbrella
FLAVA,mscoco,11.24,-11.22,image,umbrella
FLAVA,mscoco,4.25,-14.55,image,umbrella
FLAVA,mscoco,1.40,-15.36,image,umbrella
FLAVA,mscoco,-11.56,20.11,text,broccoli
FLAVA,mscoco,-10.96,22.29,text,broccoli
FLAVA,mscoco,-9.52,20.17,text,broccoli
FLAVA,mscoco,-9.04,21.60,text,broccoli
FLAVA,mscoco,-7.96,21.84,text,broccoli
FLAVA,mscoco,-8.59,23.67,text,broccoli
FLAVA,mscoco,-12.60,22.05,text,broccoli
FLAVA,mscoco,-10.03,23.66,text,broccoli
FLAVA,mscoco,-10.91,19.33,text,broccoli
FLAVA,mscoco,-6.20,21.70,text,broccoli
FLAVA,mscoco,-5.82,19.88,text,broccoli
FLAVA,mscoco,-6.82,20.11,text,broccoli
FLAVA,mscoco,-12.45,21.89,text,broccoli
FLAVA,mscoco,-8.24,21.46,text,broccoli
FLAVA,mscoco,-8.59,24.03,text,broccoli
FLAVA,mscoco,-9.84,21.28,text,broccoli
FLAVA,mscoco,-13.05,21.65,text,broccoli
FLAVA,mscoco,-11.43,22.01,text,broccoli
FLAVA,mscoco,-3.84,20.57,text,broccoli
FLAVA,mscoco,-5.95,21.88,text,broccoli
FLAVA,mscoco,-8.57,24.53,text,broccoli
FLAVA,mscoco,-8.32,22.77,text,broccoli
FLAVA,mscoco,-9.97,24.59,text,broccoli
FLAVA,mscoco,-9.79,23.13,text,broccoli
FLAVA,mscoco,-5.76,21.06,text,broccoli
FLAVA,mscoco,-7.85,22.91,text,broccoli
FLAVA,mscoco,-14.27,20.88,text,broccoli
FLAVA,mscoco,-10.22,21.92,text,broccoli
FLAVA,mscoco,-9.53,21.65,text,broccoli
FLAVA,mscoco,-11.80,19.69,text,broccoli
FLAVA,mscoco,-7.13,20.25,text,broccoli
FLAVA,mscoco,-6.40,21.86,text,broccoli
FLAVA,mscoco,-8.58,20.78,text,broccoli
FLAVA,mscoco,-7.66,23.06,text,broccoli
FLAVA,mscoco,-10.41,22.92,text,broccoli
FLAVA,mscoco,-8.01,24.15,text,broccoli
FLAVA,mscoco,-11.17,23.97,text,broccoli
FLAVA,mscoco,-8.74,19.07,text,broccoli
FLAVA,mscoco,-12.37,23.38,text,broccoli
FLAVA,mscoco,-6.64,22.45,text,broccoli
FLAVA,mscoco,-10.14,22.85,text,broccoli
FLAVA,mscoco,-9.24,23.03,text,broccoli
FLAVA,mscoco,-9.11,21.74,text,broccoli
FLAVA,mscoco,-7.78,20.48,text,broccoli
FLAVA,mscoco,-5.10,22.08,text,broccoli
FLAVA,mscoco,-9.45,19.91,text,broccoli
FLAVA,mscoco,-6.12,23.07,text,broccoli
FLAVA,mscoco,-11.85,22.41,text,broccoli
FLAVA,mscoco,-7.39,24.25,text,broccoli
FLAVA,mscoco,-14.11,20.97,text,broccoli
FLAVA,mscoco,-4.32,6.61,text,beigel
FLAVA,mscoco,-6.92,6.06,text,beigel
