Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
FLAVA,mscoco,Txt-Txt,Pos,0.68703246
FLAVA,mscoco,Txt-Txt,Pos,0.6323885
FLAVA,mscoco,Txt-Txt,Pos,0.7541106
FLAVA,mscoco,Txt-Txt,Pos,0.6925405
FLAVA,mscoco,Txt-Txt,Pos,0.77117527
FLAVA,mscoco,Txt-Txt,Pos,0.86882114
FLAVA,mscoco,Txt-Txt,Pos,0.5969552
FLAVA,mscoco,Txt-Txt,Pos,0.581905
FLAVA,mscoco,Txt-Txt,Pos,0.5032239
FLAVA,mscoco,Txt-Txt,Pos,0.37698784
FLAVA,mscoco,Txt-Txt,Pos,0.61418253
FLAVA,mscoco,Txt-Txt,Pos,0.5866575
FLAVA,mscoco,Txt-Txt,Pos,0.7024745
FLAVA,mscoco,Txt-Txt,Pos,0.7984214
FLAVA,mscoco,Txt-Txt,Pos,0.5012966
FLAVA,mscoco,Txt-Txt,Pos,0.75028765
FLAVA,mscoco,Txt-Txt,Pos,0.752163
FLAVA,mscoco,Txt-Txt,Pos,0.87946725
FLAVA,mscoco,Txt-Txt,Pos,0.4628478
FLAVA,mscoco,Txt-Txt,Pos,0.39938068
FLAVA,mscoco,Txt-Txt,Pos,0.65385294
FLAVA,mscoco,Txt-Txt,Pos,0.6369562
FLAVA,mscoco,Txt-Txt,Pos,0.5137483
FLAVA,mscoco,Txt-Txt,Pos,0.6717781
FLAVA,mscoco,Txt-Txt,Pos,0.8929043
FLAVA,mscoco,Txt-Txt,Pos,0.5336529
FLAVA,mscoco,Txt-Txt,Pos,0.7830668
FLAVA,mscoco,Txt-Txt,Pos,0.50784457
FLAVA,mscoco,Txt-Txt,Pos,0.7578777
FLAVA,mscoco,Txt-Txt,Pos,0.69061553
FLAVA,mscoco,Txt-Txt,Pos,0.63482314
FLAVA,mscoco,Txt-Txt,Pos,0.73383707
FLAVA,mscoco,Txt-Txt,Pos,0.71475697
FLAVA,mscoco,Txt-Txt,Pos,0.58062696
FLAVA,mscoco,Txt-Txt,Pos,0.48384058
FLAVA,mscoco,Txt-Txt,Pos,0.7724905
FLAVA,mscoco,Txt-Txt,Pos,0.7518337
FLAVA,mscoco,Txt-Txt,Pos,0.81988394
FLAVA,mscoco,Txt-Txt,Pos,0.66859365
FLAVA,mscoco,Txt-Txt,Pos,0.40280098
FLAVA,mscoco,Txt-Txt,Pos,0.60214067
FLAVA,mscoco,Txt-Txt,Pos,0.5705496
FLAVA,mscoco,Txt-Txt,Pos,0.7002775
FLAVA,mscoco,Txt-Txt,Pos,0.6643044
FLAVA,mscoco,Txt-Txt,Pos,0.7343977
FLAVA,mscoco,Txt-Txt,Pos,0.5690042
FLAVA,mscoco,Txt-Txt,Pos,0.8753404
FLAVA,mscoco,Txt-Txt,Pos,0.69373775
FLAVA,mscoco,Txt-Txt,Pos,0.7879313
FLAVA,mscoco,Txt-Txt,Pos,0.7021766
FLAVA,mscoco,Txt-Txt,Pos,0.70547783
FLAVA,mscoco,Txt-Txt,Pos,0.89476585
FLAVA,mscoco,Txt-Txt,Pos,0.7022033
FLAVA,mscoco,Txt-Txt,Pos,0.5866343
FLAVA,mscoco,Txt-Txt,Pos,0.57560396
FLAVA,mscoco,Txt-Txt,Pos,0.39926606
FLAVA,mscoco,Txt-Txt,Pos,0.7161476
FLAVA,mscoco,Txt-Txt,Pos,0.53335
FLAVA,mscoco,Txt-Txt,Pos,0.47612983
FLAVA,mscoco,Txt-Txt,Pos,0.6214901
FLAVA,mscoco,Txt-Txt,Pos,0.7885215
FLAVA,mscoco,Txt-Txt,Pos,0.83979905
FLAVA,mscoco,Txt-Txt,Pos,0.60078204
FLAVA,mscoco,Txt-Txt,Pos,0.80949706
FLAVA,mscoco,Txt-Txt,Pos,0.7324168
FLAVA,mscoco,Txt-Txt,Pos,0.7373158
FLAVA,mscoco,Txt-Txt,Pos,0.7453818
FLAVA,mscoco,Txt-Txt,Pos,0.75812113
FLAVA,mscoco,Txt-Txt,Pos,0.7239075
FLAVA,mscoco,Txt-Txt,Pos,0.66214854
FLAVA,mscoco,Txt-Txt,Pos,0.3902145
FLAVA,mscoco,Txt-Txt,Pos,0.68406767
FLAVA,mscoco,Txt-Txt,Pos,0.8644446
FLAVA,mscoco,Txt-Txt,Pos,0.7348296
FLAVA,mscoco,Txt-Txt,Pos,0.7608966
FLAVA,mscoco,Txt-Txt,Pos,0.6669614
FLAVA,mscoco,Txt-Txt,Pos,0.85680735
FLAVA,mscoco,Txt-Txt,Pos,0.72418344
FLAVA,mscoco,Txt-Txt,Pos,0.83339584
FLAVA,mscoco,Txt-Txt,Pos,0.79646796
FLAVA,mscoco,Txt-Txt,Pos,0.82245696
FLAVA,mscoco,Txt-Txt,Pos,0.81263006
FLAVA,mscoco,Txt-Txt,Pos,0.6619573
FLAVA,mscoco,Txt-Txt,Pos,0.5384195
FLAVA,mscoco,Txt-Txt,Pos,0.55759525
FLAVA,mscoco,Txt-Txt,Pos,0.76360536
FLAVA,mscoco,Txt-Txt,Pos,0.9684061
FLAVA,mscoco,Txt-Txt,Pos,0.70248574
FLAVA,mscoco,Txt-Txt,Pos,0.7354679
FLAVA,mscoco,Txt-Txt,Pos,0.73472494
FLAVA,mscoco,Txt-Txt,Pos,0.8390101
FLAVA,mscoco,Txt-Txt,Pos,0.80816495
FLAVA,mscoco,Txt-Txt,Pos,0.76077056
FLAVA,mscoco,Txt-Txt,Pos,0.71441376
FLAVA,mscoco,Txt-Txt,Pos,0.7141249
FLAVA,mscoco,Txt-Txt,Pos,0.9579543
FLAVA,mscoco,Txt-Txt,Pos,0.6202835
FLAVA,mscoco,Txt-Txt,Pos,0.80594146
FLAVA,mscoco,Txt-Txt,Pos,0.7176875
FLAVA,mscoco,Txt-Txt,Pos,0.54043835
FLAVA,mscoco,Txt-Txt,Pos,0.50738406
FLAVA,mscoco,Txt-Txt,Pos,0.6855241
FLAVA,mscoco,Txt-Txt,Pos,0.77006006
FLAVA,mscoco,Txt-Txt,Pos,0.56313145
FLAVA,mscoco,Txt-Txt,Pos,0.48959237
FLAVA,mscoco,Txt-Txt,Pos,0.6111621
FLAVA,mscoco,Txt-Txt,Pos,0.62575746
FLAVA,mscoco,Txt-Txt,Pos,0.88404435
FLAVA,mscoco,Txt-Txt,Pos,0.8495289
FLAVA,mscoco,Txt-Txt,Pos,0.8226395
FLAVA,mscoco,Txt-Txt,Pos,0.71781105
FLAVA,mscoco,Txt-Txt,Pos,0.61272013
FLAVA,mscoco,Txt-Txt,Pos,0.87267673
FLAVA,mscoco,Txt-Txt,Pos,0.89751005
FLAVA,mscoco,Txt-Txt,Pos,0.52430224
FLAVA,mscoco,Txt-Txt,Pos,0.8516928
FLAVA,mscoco,Txt-Txt,Pos,0.77324915
FLAVA,mscoco,Txt-Txt,Pos,0.6577101
FLAVA,mscoco,Txt-Txt,Pos,0.6515845
FLAVA,mscoco,Txt-Txt,Pos,0.90506923
FLAVA,mscoco,Txt-Txt,Pos,0.81695724
FLAVA,mscoco,Txt-Txt,Pos,0.27052805
FLAVA,mscoco,Txt-Txt,Pos,0.596148
FLAVA,mscoco,Txt-Txt,Pos,0.76802814
FLAVA,mscoco,Txt-Txt,Pos,0.79186606
FLAVA,mscoco,Txt-Txt,Pos,0.709851
FLAVA,mscoco,Txt-Txt,Pos,0.44102374
FLAVA,mscoco,Txt-Txt,Pos,0.59436154
FLAVA,mscoco,Txt-Txt,Pos,0.49812555
FLAVA,mscoco,Txt-Txt,Pos,0.6751954
FLAVA,mscoco,Txt-Txt,Pos,0.8974314
FLAVA,mscoco,Txt-Txt,Pos,0.5134264
FLAVA,mscoco,Txt-Txt,Pos,0.88381773
FLAVA,mscoco,Txt-Txt,Pos,0.49480903
FLAVA,mscoco,Txt-Txt,Pos,0.73550594
FLAVA,mscoco,Txt-Txt,Pos,0.61153567
FLAVA,mscoco,Txt-Txt,Pos,0.5472644
FLAVA,mscoco,Txt-Txt,Pos,0.77082485
FLAVA,mscoco,Txt-Txt,Pos,0.72558236
FLAVA,mscoco,Txt-Txt,Pos,0.7351455
FLAVA,mscoco,Txt-Txt,Pos,0.86064696
FLAVA,mscoco,Txt-Txt,Pos,0.62106663
FLAVA,mscoco,Txt-Txt,Pos,0.68894243
FLAVA,mscoco,Txt-Txt,Pos,0.8088484
FLAVA,mscoco,Txt-Txt,Pos,0.69403005
FLAVA,mscoco,Txt-Txt,Pos,0.7203868
FLAVA,mscoco,Txt-Txt,Pos,0.54564565
FLAVA,mscoco,Txt-Txt,Pos,0.67823344
FLAVA,mscoco,Txt-Txt,Pos,0.8436736
FLAVA,mscoco,Txt-Txt,Pos,0.590662
FLAVA,mscoco,Txt-Txt,Pos,0.8604332
FLAVA,mscoco,Txt-Txt,Pos,0.86814284
FLAVA,mscoco,Txt-Txt,Pos,0.72635055
FLAVA,mscoco,Txt-Txt,Pos,0.6437211
FLAVA,mscoco,Txt-Txt,Pos,0.6484395
FLAVA,mscoco,Txt-Txt,Pos,0.66873276
FLAVA,mscoco,Txt-Txt,Pos,0.6129043
FLAVA,mscoco,Txt-Txt,Pos,0.804048
FLAVA,mscoco,Txt-Txt,Pos,0.61526644
FLAVA,mscoco,Txt-Txt,Pos,0.6388937
FLAVA,mscoco,Txt-Txt,Pos,0.63087136
FLAVA,mscoco,Txt-Txt,Pos,0.48122138
FLAVA,mscoco,Txt-Txt,Pos,0.63409853
FLAVA,mscoco,Txt-Txt,Pos,0.8342196
FLAVA,mscoco,Txt-Txt,Pos,0.48658368
FLAVA,mscoco,Txt-Txt,Pos,0.80034614
FLAVA,mscoco,Txt-Txt,Pos,0.8064126
FLAVA,mscoco,Txt-Txt,Pos,0.35739326
FLAVA,mscoco,Txt-Txt,Pos,0.6226796
FLAVA,mscoco,Txt-Txt,Pos,0.28379306
FLAVA,mscoco,Txt-Txt,Pos,0.8287986
FLAVA,mscoco,Txt-Txt,Pos,0.6117326
FLAVA,mscoco,Txt-Txt,Pos,0.6267779
FLAVA,mscoco,Txt-Txt,Pos,0.66657317
FLAVA,mscoco,Txt-Txt,Pos,0.8829008
FLAVA,mscoco,Txt-Txt,Pos,0.6213587
FLAVA,mscoco,Txt-Txt,Pos,0.8171319
FLAVA,mscoco,Txt-Txt,Pos,0.67848426
FLAVA,mscoco,Txt-Txt,Pos,0.7317405
FLAVA,mscoco,Txt-Txt,Pos,0.7010922
FLAVA,mscoco,Txt-Txt,Pos,0.55851847
FLAVA,mscoco,Txt-Txt,Pos,0.78620386
FLAVA,mscoco,Txt-Txt,Pos,0.8451299
FLAVA,mscoco,Txt-Txt,Pos,0.73676556
FLAVA,mscoco,Txt-Txt,Pos,0.6742131
FLAVA,mscoco,Txt-Txt,Pos,0.8273263
FLAVA,mscoco,Txt-Txt,Pos,0.52732444
FLAVA,mscoco,Txt-Txt,Pos,0.81828696
FLAVA,mscoco,Txt-Txt,Pos,0.6934762
FLAVA,mscoco,Txt-Txt,Pos,0.7762146
FLAVA,mscoco,Txt-Txt,Pos,0.6777358
FLAVA,mscoco,Txt-Txt,Pos,0.72378755
FLAVA,mscoco,Txt-Txt,Pos,0.8274852
FLAVA,mscoco,Txt-Txt,Pos,0.6313304
FLAVA,mscoco,Txt-Txt,Pos,0.83101034
FLAVA,mscoco,Txt-Txt,Pos,0.6447307
FLAVA,mscoco,Txt-Txt,Pos,0.6435025
FLAVA,mscoco,Txt-Txt,Pos,0.5384941
FLAVA,mscoco,Txt-Txt,Pos,0.64082575
FLAVA,mscoco,Txt-Txt,Pos,0.59725106
FLAVA,mscoco,Txt-Txt,Pos,0.52904254
FLAVA,mscoco,Txt-Txt,Pos,0.5948251
FLAVA,mscoco,Txt-Txt,Pos,0.62335294
FLAVA,mscoco,Txt-Txt,Pos,0.6286019
FLAVA,mscoco,Txt-Txt,Pos,0.7844001
FLAVA,mscoco,Txt-Txt,Pos,0.8032436
FLAVA,mscoco,Txt-Txt,Pos,0.56726056
FLAVA,mscoco,Txt-Txt,Pos,0.61701256
FLAVA,mscoco,Txt-Txt,Pos,0.7006551
FLAVA,mscoco,Txt-Txt,Pos,0.6043327
FLAVA,mscoco,Txt-Txt,Pos,0.841308
FLAVA,mscoco,Txt-Txt,Pos,0.8096423
FLAVA,mscoco,Txt-Txt,Pos,0.7664603
FLAVA,mscoco,Txt-Txt,Pos,0.56583107
FLAVA,mscoco,Txt-Txt,Pos,0.6221679
FLAVA,mscoco,Txt-Txt,Pos,0.56467813
FLAVA,mscoco,Txt-Txt,Pos,0.6130146
FLAVA,mscoco,Txt-Txt,Pos,0.6534278
FLAVA,mscoco,Txt-Txt,Pos,0.69397473
FLAVA,mscoco,Txt-Txt,Pos,0.58292073
FLAVA,mscoco,Txt-Txt,Pos,0.8746095
FLAVA,mscoco,Txt-Txt,Pos,0.6134239
FLAVA,mscoco,Txt-Txt,Pos,0.67984664
FLAVA,mscoco,Txt-Txt,Pos,0.69730055
FLAVA,mscoco,Txt-Txt,Pos,0.8090832
FLAVA,mscoco,Txt-Txt,Pos,0.6857543
FLAVA,mscoco,Txt-Txt,Pos,0.5040904
FLAVA,mscoco,Txt-Txt,Pos,0.715541
FLAVA,mscoco,Txt-Txt,Pos,0.8218633
FLAVA,mscoco,Txt-Txt,Pos,0.7547568
FLAVA,mscoco,Txt-Txt,Pos,0.6391134
FLAVA,mscoco,Txt-Txt,Pos,0.79016304
FLAVA,mscoco,Txt-Txt,Pos,0.74931544
FLAVA,mscoco,Txt-Txt,Pos,0.63502616
FLAVA,mscoco,Txt-Txt,Pos,0.50044286
FLAVA,mscoco,Txt-Txt,Pos,0.5476301
FLAVA,mscoco,Txt-Txt,Pos,0.5813957
FLAVA,mscoco,Txt-Txt,Pos,0.5163581
FLAVA,mscoco,Txt-Txt,Pos,0.59796435
FLAVA,mscoco,Txt-Txt,Pos,0.8417171
FLAVA,mscoco,Txt-Txt,Pos,0.6688361
FLAVA,mscoco,Txt-Txt,Pos,0.7544354
FLAVA,mscoco,Txt-Txt,Pos,0.71111846
FLAVA,mscoco,Txt-Txt,Pos,0.7977148
FLAVA,mscoco,Txt-Txt,Pos,0.53000265
FLAVA,mscoco,Txt-Txt,Pos,0.83350915
FLAVA,mscoco,Txt-Txt,Pos,0.5178967
FLAVA,mscoco,Txt-Txt,Pos,0.5597868
FLAVA,mscoco,Txt-Txt,Pos,0.7555646
FLAVA,mscoco,Txt-Txt,Pos,0.76322734
FLAVA,mscoco,Txt-Txt,Pos,0.5658971
FLAVA,mscoco,Txt-Txt,Pos,0.84298825
FLAVA,mscoco,Txt-Txt,Pos,0.540216
FLAVA,mscoco,Txt-Txt,Pos,0.7361402
FLAVA,mscoco,Txt-Txt,Pos,0.8241918
FLAVA,mscoco,Txt-Txt,Pos,0.5109478
FLAVA,mscoco,Txt-Txt,Pos,0.7439853
FLAVA,mscoco,Txt-Txt,Pos,0.8067208
FLAVA,mscoco,Txt-Txt,Pos,0.671518
FLAVA,mscoco,Txt-Txt,Pos,0.5898026
FLAVA,mscoco,Txt-Txt,Pos,0.6228332
FLAVA,mscoco,Txt-Txt,Pos,0.64971805
FLAVA,mscoco,Txt-Txt,Pos,0.5664231
FLAVA,mscoco,Txt-Txt,Pos,0.7254736
FLAVA,mscoco,Txt-Txt,Pos,0.55935764
FLAVA,mscoco,Txt-Txt,Pos,0.73125315
FLAVA,mscoco,Txt-Txt,Pos,0.60097504
FLAVA,mscoco,Txt-Txt,Pos,0.94130963
FLAVA,mscoco,Txt-Txt,Pos,0.7036056
FLAVA,mscoco,Txt-Txt,Pos,0.6736944
FLAVA,mscoco,Txt-Txt,Pos,0.7304205
FLAVA,mscoco,Txt-Txt,Pos,0.1710275
FLAVA,mscoco,Txt-Txt,Pos,0.8212031
FLAVA,mscoco,Txt-Txt,Pos,0.8697839
FLAVA,mscoco,Txt-Txt,Pos,0.7810027
FLAVA,mscoco,Txt-Txt,Pos,0.711804
FLAVA,mscoco,Txt-Txt,Pos,0.7093208
FLAVA,mscoco,Txt-Txt,Pos,0.37438482
FLAVA,mscoco,Txt-Txt,Pos,0.7547533
FLAVA,mscoco,Txt-Txt,Pos,0.5909133
FLAVA,mscoco,Txt-Txt,Pos,0.83502984
FLAVA,mscoco,Txt-Txt,Pos,0.65196866
FLAVA,mscoco,Txt-Txt,Pos,0.74883854
FLAVA,mscoco,Txt-Txt,Pos,0.41502512
FLAVA,mscoco,Txt-Txt,Pos,0.66706336
FLAVA,mscoco,Txt-Txt,Pos,0.58639514
FLAVA,mscoco,Txt-Txt,Pos,0.7134911
